id;text;createTime;authorMeta.id;authorMeta.secUid;authorMeta.name;authorMeta.nickName;authorMeta.verified;authorMeta.signature;authorMeta.avatar;musicMeta.musicId;musicMeta.musicName;musicMeta.musicAuthor;musicMeta.musicOriginal;musicMeta.playUrl;musicMeta.coverThumb;musicMeta.coverMedium;musicMeta.coverLarge;covers.default;covers.origin;covers.dynamic;webVideoUrl;videoUrl;videoUrlNoWaterMark;videoMeta.height;videoMeta.width;videoMeta.duration;diggCount;shareCount;playCount;commentCount;downloaded;mentions;hashtags
6,84975E+18;Cuando tu novio ya comió con tu mamá 😂 #comedia #marioaguilar @soylamorena;1594831501;8121372;MS4wLjABAAAAu1ff55FEAB_Kc0wjDZEUmoRAzBdPrnmVInTbcZdvJAI;marioaguilar;Mario Aguilar;true;Mi vida es una comedia. 🤪;;;;;;;;;;;;;;;;;;;;;;;;;
"Escríbeme por Instagram: @marioaguilarmg""";https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_1080x1080.jpeg;6,84975E+18;sonido original;marioaguilar;true;https://p16-va-tiktok.ibyteimg.com/obj/musically-maliva-obj/6849749132689656581.mp3;https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_100x100.jpeg;https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_720x720.jpeg;https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_1080x1080.jpeg;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/990cc782883946128d7113b50b682eef?x-expires=1597960800&x-signature=SDQUIZJB0SypFWTOYCgjf%2BAxDtU%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/95f07fda3dbb4d88935f7074d0f12d49_1594831502?x-expires=1597960800&x-signature=nF7SgFz%2FdopVy9Sjwh%2FUbRAP1xE%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0555260995f245938b7203a4f15e467d_1594831502?x-expires=1597960800&x-signature=ozniLT3m4oi5L0KVTxgMwwVMR%2FA%3D;https://www.tiktok.com/@marioaguilar/video/6849749129103543558;https://v16m.tiktokcdn.com/ad665bc8b0988936803f4941e272d415/5f3efffb/video/tos/useast2a/tos-useast2a-ve-0068c004/06fc1272b0034ccabd27b4bed1b88146/?a=1233&br=2610&bt=1305&cr=0&cs=0&dr=0&ds=3&er=&l=20200818225802010189065137175BE6B0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M3lrN21mdnVtdjMzOzczM0ApNTQ6Z2U5aDtpNzxkZmk3PGdlb3NjbGBgMTRfLS1fMTZzcy5gNmFeYWFjMGAtYDY0YWM6Yw%3D%3D&vl=&vr=;;960;540;42;239600;2046;1200000;991;false;"[""@soylamorena""]";"[{""id"":""143516"",""name"":""comedia"",""title"":""¡Mira los mejores videos de comedia!"",""cover"":""""},{""id"":""9699600"",""name"":""marioaguilar"",""title"":"""",""cover"":""""}]";;;;;;;;
6,84948E+18;Cuando tu mamá ocupa una pluma 😂 #marioaguilar #comedia;1594769185;8121372;MS4wLjABAAAAu1ff55FEAB_Kc0wjDZEUmoRAzBdPrnmVInTbcZdvJAI;marioaguilar;Mario Aguilar;true;Mi vida es una comedia. 🤪;;;;;;;;;;;;;;;;;;;;;;;;;
"Escríbeme por Instagram: @marioaguilarmg""";https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_1080x1080.jpeg;6,84948E+18;sonido original;marioaguilar;true;https://p16-va-tiktok.ibyteimg.com/obj/musically-maliva-obj/6849481435535936261.mp3;https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_100x100.jpeg;https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_720x720.jpeg;https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_1080x1080.jpeg;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0f130a95ea0248719694b1c13375f3fa_1594769186?x-expires=1597960800&x-signature=rv%2B7HC2aOVE5XZzEt6nsKZslqyk%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/1c61d4dd5b6c4b258664fa144cb61843_1594769187?x-expires=1597960800&x-signature=RawiRDxgk40HlzIUvjIqJG0Bcq8%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/308054b7810c4ef28323b6588f6f116d_1594769187?x-expires=1597960800&x-signature=piVqo4f37TsLJ9wPVMrRNsD2cp0%3D;https://www.tiktok.com/@marioaguilar/video/6849481480398245126;https://v16m.tiktokcdn.com/87c885cc716d28cca2e492a3c40589bc/5f3efffb/video/tos/useast2a/tos-useast2a-ve-0068c001/2005ff2fd538464f9cfeea36b9c3db31/?a=1233&br=2950&bt=1475&cr=0&cs=0&dr=0&ds=3&er=&l=20200818225802010189065137175BE6B0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=ajo5ZmQ3OTQ2djMzOzczM0ApOGQ6ZWdlOTs4N2doZThlZmdoMzZmMi1tcjRfLS1gMTZzc2AwLjUyNGJiYTFiMWIyNWA6Yw%3D%3D&vl=&vr=;;960;540;28;729000;24200;4100000;3618;false;[];"[{""id"":""9699600"",""name"":""marioaguilar"",""title"":"""",""cover"":""""},{""id"":""143516"",""name"":""comedia"",""title"":""¡Mira los mejores videos de comedia!"",""cover"":""""}]";;;;;;;;
6,84942E+18;La Jeepeta 🕺🏼 #baile #marioaguilar;1594754920;8121372;MS4wLjABAAAAu1ff55FEAB_Kc0wjDZEUmoRAzBdPrnmVInTbcZdvJAI;marioaguilar;Mario Aguilar;true;Mi vida es una comedia. 🤪;;;;;;;;;;;;;;;;;;;;;;;;;
"Escríbeme por Instagram: @marioaguilarmg""";https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_1080x1080.jpeg;6,8289E+18;La Jeepeta;Nio Garcia & Brray & JuanKa;false;https://sf-tk-sg.ibytedtos.com/obj/tiktok-obj/fb3a036a702c5a6a61417544dabc4b62.mp3;https://p16.tiktokcdn.com/aweme/100x100/tos-alisg-i-0000/e4632ad227c84166b7cf7e3959375055.jpeg;https://p16.tiktokcdn.com/aweme/200x200/tos-alisg-i-0000/e4632ad227c84166b7cf7e3959375055.jpeg;https://p16.tiktokcdn.com/aweme/720x720/tos-alisg-i-0000/e4632ad227c84166b7cf7e3959375055.jpeg;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/fa3c27ea29aa49d39631c8a7f97db091?x-expires=1597960800&x-signature=3K5O%2BgDwdIVyG9M2JIr1aCYjV9s%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/659ab96010de472bb7c7fe8a54654afb_1594754921?x-expires=1597960800&x-signature=EiAZRCRgSqfTtUPBwUAvqj8L4pU%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/a0ea2a64638940d88342a875f30e312f_1594754922?x-expires=1597960800&x-signature=fepWSFVniVQxe43C1nypZ61Yy48%3D;https://www.tiktok.com/@marioaguilar/video/6849420217173675270;https://v16m.tiktokcdn.com/1a76c61f29c57cd52ee96d9859028fa2/5f3efffb/video/tos/useast2a/tos-useast2a-ve-0068c002/26de3bf0b04541d0aff7b0379f5b5e78/?a=1233&br=3584&bt=1792&cr=0&cs=0&dr=0&ds=3&er=&l=20200818225802010189065137175BE6B0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2xrNGt4OW8zdjMzZDczM0ApaDg7Nzg0ZTs4NzVmNDwzPGdrc2dmZ2VnYjRfLS1hMTZzc2JhNDUvLzEvYTQyX2NhYC46Yw%3D%3D&vl=&vr=;;960;540;15;80500;183;676700;415;false;[];"[{""id"":""29677"",""name"":""baile"",""title"":"""",""cover"":""""},{""id"":""9699600"",""name"":""marioaguilar"",""title"":"""",""cover"":""""}]";;;;;;;;
6,84941E+18;AGUA 💦 @jbalvin #baile #marioaguilar;1594753235;8121372;MS4wLjABAAAAu1ff55FEAB_Kc0wjDZEUmoRAzBdPrnmVInTbcZdvJAI;marioaguilar;Mario Aguilar;true;Mi vida es una comedia. 🤪;;;;;;;;;;;;;;;;;;;;;;;;;
"Escríbeme por Instagram: @marioaguilarmg""";https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_1080x1080.jpeg;6,8477E+18;"Agua (Music from ""Sponge on the Run"" Movie)";Tainy & J Balvin;false;https://sf-tk-sg.ibytedtos.com/obj/tiktok-obj/5b42e43cbad021c6eb6b515dcb737b0c.mp3;https://p16.tiktokcdn.com/aweme/100x100/tiktok-obj/image/9fb5eaf1289dc7552d49f976ab81cc57.jpg.jpeg;https://p16.tiktokcdn.com/aweme/200x200/tiktok-obj/image/9fb5eaf1289dc7552d49f976ab81cc57.jpg.jpeg;https://p16.tiktokcdn.com/aweme/720x720/tiktok-obj/image/9fb5eaf1289dc7552d49f976ab81cc57.jpg.jpeg;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/b40e9d6bbfd447348cabab6b516af556_1594753237?x-expires=1597960800&x-signature=vuxrGROwx7NNYwT37rTKrMZUMgY%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/fe99dbc523914c4b83ffc0d277cec559_1594753237?x-expires=1597960800&x-signature=m%2FowJe9abG0OLeFOsu2bwdFY1hc%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/d79c6ecb42e644c58d39fb612f9e3f0d_1594753237?x-expires=1597960800&x-signature=jlaOUya%2Bd1un8ttAJBZhEKt%2B0Zs%3D;https://www.tiktok.com/@marioaguilar/video/6849412980996607237;https://v16m.tiktokcdn.com/7f6dcfc721d0219c818ed9ef2bf6da4a/5f3efffb/video/tos/useast2a/tos-useast2a-pve-0068/23874fbb7c614dc5b60163f746d384cc/?a=1233&br=3046&bt=1523&cr=0&cs=0&dr=0&ds=3&er=&l=20200818225802010189065137175BE6B0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M3h0djdvNmczdjMzNDczM0ApOmdoO2k4MztoNzk8NGk1M2ctX2pmaTJtLjRfLS00MTZzcy9hMjU0NjEvL2AxLzBeNS46Yw%3D%3D&vl=&vr=;;960;540;15;185900;442;1400000;409;false;"[""@jbalvin""]";"[{""id"":""29677"",""name"":""baile"",""title"":"""",""cover"":""""},{""id"":""9699600"",""name"":""marioaguilar"",""title"":"""",""cover"":""""}]";;;;;;;;
6,84908E+18;Andamo ruleta en una camioneta #marioaguilar @genarogi1 @tonisd01 trend: @vctorberrios 🕺🏼;1594676225;8121372;MS4wLjABAAAAu1ff55FEAB_Kc0wjDZEUmoRAzBdPrnmVInTbcZdvJAI;marioaguilar;Mario Aguilar;true;Mi vida es una comedia. 🤪;;;;;;;;;;;;;;;;;;;;;;;;;
"Escríbeme por Instagram: @marioaguilarmg""";https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_1080x1080.jpeg;6,8245E+18;original sound - Jhovs Reyes;Jhovs Reyes;true;https://sf-tk-sg.ibytedtos.com/obj/tiktok-obj/496078e67bc01ef58ed1c1e0918f2638.mp3;https://p16.tiktokcdn.com/aweme/100x100/tiktok-obj/444cf3d8207bd4d9373f16f43712b852.jpeg;https://p16.tiktokcdn.com/aweme/720x720/tiktok-obj/444cf3d8207bd4d9373f16f43712b852.jpeg;https://p16.tiktokcdn.com/aweme/1080x1080/tiktok-obj/444cf3d8207bd4d9373f16f43712b852.jpeg;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/2b3efec453f9403580f528b6df88f733_1594676227?x-expires=1597960800&x-signature=sFLINg5IVWOOS5Dyhg9SSM2Tn9s%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/80ff4af1d93b411ab31a7bff1ca5448e_1594676226?x-expires=1597960800&x-signature=HTRMEaGkD5T9QJ0Y%2FURkOho69zc%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/92a7b20d64874fd6968b517bc4c1dc2b_1594676226?x-expires=1597960800&x-signature=V16PHA2Al8LgIEdwFOI6dMjb29o%3D;https://www.tiktok.com/@marioaguilar/video/6849082221203066117;https://v16m.tiktokcdn.com/702bd11f43abdea3a760066ed2e82f2b/5f3efffb/video/tos/useast2a/tos-useast2a-ve-0068c001/1197d78da56048a99794fffb02aa67ce/?a=1233&br=7002&bt=3501&cr=0&cs=0&dr=0&ds=3&er=&l=20200818225802010189065137175BE6B0&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=amdkeDV3b3NndjMzOjczM0ApO2k4PDNlZzwzN2dpODdoZGczamttLWhvNDNfLS1iMTZzcy1iYjBeYjFgMV9iMzIwXzA6Yw%3D%3D&vl=&vr=;;960;540;15;115100;298;919000;595;false;"[""@genarogi1"",""@tonisd01"",""@vctorberrios""]";"[{""id"":""9699600"",""name"":""marioaguilar"",""title"":"""",""cover"":""""}]";;;;;;;;
